+------+---------------------+
| cc   | avg(timeDelta)      |
+------+---------------------+
| 0    |  131.60073597056117 |
| 1    |  106.45691662785282 |
| 2    |   129.1752521856086 |
| 3    |  109.08632004038364 |
| 4    |  126.99838523644752 |
| 5    |  156.62934131736526 |
| 6    |  103.53202176642947 |
| 7    |  181.19241192411923 |
| 8    |  139.90715048025615 |
| 9    |  192.71031096563013 |
| 10   |   243.7443820224719 |
| 11   |   159.8494623655914 |
| 12   |  152.09580838323353 |
| 13   |  235.29268292682926 |
| 14   |  216.09756097560975 |
| 15   |  209.19565217391303 |
| 16   |  339.30555555555554 |
| 17   |  165.33333333333334 |
| 18   |   119.6842105263158 |
| 20   |   410.7857142857143 |
| 21   |  285.38461538461536 |
| 22   |   446.5833333333333 |
| 23   |              192.25 |
| 24   |                  68 |
| 25   |                  63 |
| 26   |  166.66666666666666 |
| 28   |                  57 |
| 29   |                  23 |
| 30   |                 151 |
| 32   |                  24 |
+------+---------------------+
33 rows in set (0.09 sec)
