release,class_name (class type),cbo,lcom
ZippedVersion,A (Class),0,0
ZippedVersion,ASTConsumer (Unknown Class),-1,-1
ZippedVersion,Abstract (Class),-1,-1
ZippedVersion,AlsoDoesNotNeedFinalizer (Class),-1,-1
ZippedVersion,AlsoNeedsFinalizer (Class),-1,-1
ZippedVersion,AnonymousDerivedProtectedOnDerived (Class),0,0
ZippedVersion,AnonymousDerivedProtectedToPublicInImpl (Class),0,0
ZippedVersion,Args (Unknown Class),-1,-1
ZippedVersion,B (Class),0,0
ZippedVersion,BarInterface (Public Class),0,0
ZippedVersion,Base (Class),-1,-1
ZippedVersion,BaseClass (Class),-1,-1
ZippedVersion,BasePoint (Class),-1,-1
ZippedVersion,Baz (Class),1,0
ZippedVersion,BlinkGCPluginAction (Class),5,0
ZippedVersion,BlinkGCPluginConsumer (Class),21,92
ZippedVersion,C (Class),-1,-1
ZippedVersion,CAtlDllModuleT (Unknown Class),-1,-1
ZippedVersion,CIntelPowerGadgetLib (Class),-1,-1
ZippedVersion,CLogFile (Unknown Class),-1,-1
ZippedVersion,CMeasurePageLoadTimeBHO (Class),-1,-1
ZippedVersion,CMeasurePageLoadTimeModule (Class),0,0
ZippedVersion,CZString (Public Class),-1,-1
ZippedVersion,CharSourceRange (Unknown Class),-1,-1
ZippedVersion,CheckDispatchVisitor (Class),1,37
ZippedVersion,CheckFieldsVisitor (Class),8,40
ZippedVersion,CheckFinalizerVisitor (Class),7,70
ZippedVersion,CheckGCRootsVisitor (Class),6,41
ZippedVersion,CheckTraceVisitor (Class),4,50
ZippedVersion,ChromeClassTester (Class),-1,-1
ZippedVersion,ClientCallTask (Class),1,0
ZippedVersion,CollectVisitor (Class),2,71
ZippedVersion,Collection (Class),-1,-1
ZippedVersion,CommandLine (Unknown Class),-1,-1
ZippedVersion,CommentInfo (Unknown Class),-1,-1
ZippedVersion,CommonOptionsParser (Unknown Class),-1,-1
ZippedVersion,ConcreteVirtualMethodsInHeaders (Class),0,0
ZippedVersion,ConcreteVirtualMethodsInImplementation (Class),0,0
ZippedVersion,Config (Class),-1,-1
