release,class_path,cbo,lcom
34,C:\6611\src\content\shell\renderer\test_runner\AccessibilityController.cpp,-1,-1
34,C:\6611\src\tools\clang\plugins\ChromeClassTester.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\CppBoundClass.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\CppVariant.cpp,-1,-1
34,C:\6611\src\content\shell\tools\plugin\Tests\DocumentOpenInDestroyStream.cpp,0,0
34,C:\6611\src\tools\clang\empty_string\EmptyStringConverter.cpp,5,0
34,C:\6611\src\tools\clang\empty_string\EmptyStringConverter.cpp,5,0
34,C:\6611\src\content\shell\tools\plugin\Tests\EvaluateJSAfterRemovingPluginElement.cpp,0,0
34,C:\6611\src\content\shell\renderer\test_runner\EventSender.cpp,-1,-1
34,C:\6611\src\content\shell\tools\plugin\Tests\FormValue.cpp,1,0
34,C:\6611\src\content\shell\tools\plugin\Tests\GetURLNotifyWithURLThatFailsToLoad.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\GetURLWithJavaScriptURL.cpp,1,33
34,C:\6611\src\content\shell\tools\plugin\Tests\GetURLWithJavaScriptURLDestroyingPlugin.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\GetUserAgentWithNullNPPFromNPPNew.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\InvokeDestroysPluginWithinNPP_New.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\LeakWindowScriptableObject.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\LogNPPSetWindow.cpp,0,0
34,C:\6611\src\content\shell\renderer\test_runner\MockConstraints.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\MockGrammarCheck.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\MockSpellCheck.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\MockWebAudioDevice.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\MockWebMIDIAccessor.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\MockWebMediaStreamCenter.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\MockWebSpeechRecognizer.cpp,-1,-1
34,C:\6611\src\content\shell\tools\plugin\Tests\NPDeallocateCalledBeforeNPShutdown.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\NPPNewFails.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\NPPSetWindowCalledDuringDestruction.cpp,0,46
34,C:\6611\src\content\shell\tools\plugin\Tests\NPRuntimeCallsWithNullNPP.cpp,1,0
34,C:\6611\src\content\shell\tools\plugin\Tests\NPRuntimeObjectFromDestroyedPlugin.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\NPRuntimeRemoveProperty.cpp,0,0
34,C:\6611\src\content\shell\renderer\test_runner\NotificationPresenter.cpp,-1,-1
34,C:\6611\src\content\shell\tools\plugin\Tests\NullNPPGetValuePointer.cpp,0,33
34,C:\6611\src\content\shell\tools\plugin\Tests\PassDifferentNPPStruct.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\PluginObject.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\PluginObject.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\PluginScriptableNPObjectInvokeDefault.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\Tests\PluginScriptableObjectOverridesAllProperties.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\PluginTest.cpp,-1,-1
34,C:\6611\src\tools\clang\blink_gc_plugin\RecordInfo.cpp,-1,-1
34,C:\6611\src\content\shell\tools\plugin\Tests\SlowNPPNew.cpp,0,0
34,C:\6611\src\content\shell\renderer\test_runner\TestInterfaces.cpp,-1,-1
34,C:\6611\src\content\shell\tools\plugin\TestObject.cpp,0,0
34,C:\6611\src\content\shell\tools\plugin\TestObject.cpp,0,0
34,C:\6611\src\content\shell\renderer\test_runner\TestPlugin.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\WebAXObjectProxy.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\WebPermissions.cpp,-1,-1
34,C:\6611\src\content\shell\common\test_runner\WebPreferences.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\WebTask.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\WebTestInterfaces.cpp,-1,-1
34,C:\6611\src\content\shell\renderer\test_runner\WebTestThemeEngineMock.cpp,-1,-1
