release,class_path,cbo,lcom
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\DocumentOpenInDestroyStream.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\tools\clang\empty_string\EmptyStringConverter.cpp,5,0
ZippedVersion,D:\6611\chromium_latest\tools\clang\empty_string\EmptyStringConverter.cpp,5,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\EvaluateJSAfterRemovingPluginElement.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\FormValue.cpp,1,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetURLNotifyWithURLThatFailsToLoad.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetURLWithJavaScriptURL.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetURLWithJavaScriptURLDestroyingPlugin.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\GetUserAgentWithNullNPPFromNPPNew.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\InvokeDestroysPluginWithinNPP_New.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\LeakWindowScriptableObject.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\LogNPPSetWindow.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPDeallocateCalledBeforeNPShutdown.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPPNewFails.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPPSetWindowCalledDuringDestruction.cpp,0,46
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPRuntimeCallsWithNullNPP.cpp,1,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPRuntimeObjectFromDestroyedPlugin.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NPRuntimeRemoveProperty.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\NullNPPGetValuePointer.cpp,0,33
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\PassDifferentNPPStruct.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\PluginObject.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\PluginObject.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\PluginScriptableNPObjectInvokeDefault.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\PluginScriptableObjectOverridesAllProperties.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\Tests\SlowNPPNew.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\TestObject.cpp,0,0
ZippedVersion,D:\6611\chromium_latest\content\shell\tools\plugin\TestObject.cpp,0,0
