Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Function,"AccessibilityController::AccessibilityController",,,,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15,4,11,3,7,0,0,0,1,1,7,7,0,0,7,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AccessibilityController::AccessibilityController",,,,4,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,15,4,11,3,7,0,0,0,4,1,7,7,0,0,7,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AccessibilityController::accessibleElementByIdGetterCallback",,,,3,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,3,11,3,8,0,0,0,7,3,6,8,2,0,6,3,3,4,3,2,,,,,2,,1,2,,0.00,,,,
Public Function,"AccessibilityController::addNotificationListenerCallback",,,,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,1,9,1,5,0,0,0,4,2,4,5,0,0,5,2,2,3,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"AccessibilityController::bindToJavascript",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,0,6,1,3,0,0,0,3,1,3,3,0,0,3,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AccessibilityController::fallbackCallback",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,0,0,2,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AccessibilityController::findAccessibleElementByIdRecursive",,,,3,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,3,18,6,13,0,0,0,11,8,10,15,4,0,11,6,6,8,6,6,,,,,6,,2,6,,0.00,,,,
Public Function,"AccessibilityController::focusedElementGetterCallback",,,,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,4,1,1,0,0,0,3,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AccessibilityController::getAccessibleElementById",,,,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2,8,1,5,0,0,0,7,4,3,5,0,0,5,3,3,3,1,1,,,,,0,,1,0,,0.00,,,,
Public Function,"AccessibilityController::getFocusedElement",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,0,0,4,2,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AccessibilityController::getRootElement",,,,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,0,6,1,3,0,0,0,4,2,2,3,0,0,3,2,2,2,1,0,,,,,0,,1,0,,0.00,,,,
Public Function,"AccessibilityController::logAccessibilityEventsCallback",,,,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,5,1,2,0,0,0,1,1,2,2,0,0,2,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Public Function,"AccessibilityController::notificationReceived",,,,1,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,1,13,6,7,2,0,0,6,2,10,11,5,0,6,2,2,2,1,0,,,,,0,,1,0,,0.15,,,,
Public Function,"AccessibilityController::removeNotificationListenerCallback",,,,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,0,4,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,,,,,0,,0,0,,0.25,,,,
